Id,label
1,1
2,2
3,12
4,1
5,2
6,6
7,2
8,2
9,6
10,18
11,22
12,18
13,18
14,1
15,16
16,12
17,12
18,12
19,6
20,22
21,2
22,1
23,6
24,16
25,12
26,6
27,12
28,2
29,1
30,12
31,6
32,22
33,12
34,18
35,2
36,2
37,2
38,6
39,2
40,16
41,22
42,18
43,22
44,16
45,16
46,2
47,22
48,18
49,12
50,12
51,12
52,18
53,2
54,6
55,22
56,1
57,22
58,18
59,1
60,18
61,18
62,6
63,12
64,18
65,18
66,18
67,6
68,12
69,12
70,12
71,18
72,6
73,6
74,16
75,18
76,2
77,22
78,22
79,1
80,22
81,16
82,2
83,16
84,6
85,2
86,2
87,2
88,1
89,6
90,18
91,18
92,16
93,16
94,1
95,2
96,2
97,1
98,1
99,12
100,22
101,18
102,6
103,22
104,22
105,18
106,22
107,12
108,12
109,18
110,6
111,18
112,22
113,12
114,1
115,22
116,1
117,6
118,2
119,16
120,6
121,22
122,18
123,1
124,2
125,18
126,6
127,16
128,22
129,16
130,1
131,1
132,1
133,1
134,12
135,12
136,22
137,18
138,22
139,18
140,2
141,18
142,2
143,22
144,18
145,6
146,1
147,16
148,1
149,6
150,22
151,12
152,2
153,22
154,16
155,1
156,16
157,22
158,12
159,18
160,18
161,16
162,22
163,12
164,1
165,22
166,18
167,22
168,18
169,2
170,1
171,2
172,2
173,6
174,22
175,1
176,16
177,22
178,2
179,18
180,22
181,6
182,6
183,1
184,18
185,22
186,18
187,6
188,2
189,6
190,16
191,12
192,2
193,2
194,16
195,12
196,1
197,16
198,1
199,22
200,2
201,2
202,12
203,6
204,2
205,18
206,2
207,6
208,22
209,18
210,22
211,22
212,18
213,22
214,16
215,22
216,2
217,16
218,2
219,6
220,16
221,12
222,12
223,22
224,22
225,18
226,22
227,18
228,1
229,18
230,16
231,6
232,18
233,1
234,12
235,22
236,12
237,22
238,6
239,16
240,12
241,2
242,2
243,2
244,18
245,6
246,1
247,1
248,22
249,16
250,18
251,18
252,18
253,22
254,16
255,12
256,1
257,1
258,18
259,2
260,2
261,16
262,2
263,12
264,1
265,12
266,2
267,2
268,22
269,18
270,6
271,18
272,2
273,2
274,18
275,16
276,16
277,22
278,1
279,6
280,1
281,1
282,12
283,6
284,16
285,12
286,22
287,18
288,16
289,1
290,18
291,1
292,16
293,2
294,18
295,22
296,22
297,16
298,2
299,12
300,6
301,18
302,1
303,1
304,18
305,6
306,1
307,18
308,22
309,2
310,2
311,16
312,22
313,18
314,16
315,6
316,1
317,12
318,16
319,2
320,12
321,1
322,1
323,22
324,18
325,1
326,18
327,12
328,6
329,16
330,6
331,22
332,22
333,22
334,2
335,2
336,16
337,2
338,2
339,2
340,1
341,22
342,1
343,2
344,22
345,2
346,12
347,6
348,22
349,2
350,6
351,2
352,18
353,12
354,22
355,12
356,22
357,16
358,22
359,1
360,16
361,2
362,6
363,16
364,16
365,16
366,12
367,22
368,12
369,22
370,2
371,1
372,22
373,12
374,16
375,2
376,22
377,16
378,12
379,2
380,2
381,2
382,1
383,1
384,6
385,22
386,12
387,12
388,16
389,6
390,1
391,6
392,6
393,22
394,16
395,1
396,12
397,2
398,16
399,6
400,16
401,22
402,2
403,6
404,16
405,2
406,16
407,6
408,16
409,1
410,22
411,18
412,2
413,2
414,12
415,12
416,22
417,12
418,12
419,2
420,16
421,12
422,18
423,18
424,6
425,22
426,16
427,18
428,2
429,16
430,22
431,16
432,1
433,2
434,2
435,22
436,18
437,16
438,16
439,16
440,2
441,18
442,2
443,18
444,1
445,18
446,18
447,12
448,16
449,22
450,18
451,12
452,18
453,22
454,22
455,16
456,18
457,6
458,1
459,18
460,1
461,6
462,16
463,12
464,12
465,12
466,1
467,18
468,22
469,18
470,12
471,16
472,2
473,1
474,1
475,18
476,1
477,18
478,18
479,6
480,16
481,22
482,16
483,12
484,16
485,12
486,2
487,22
488,18
489,6
490,12
491,2
492,12
493,1
494,6
495,2
496,22
497,22
498,18
499,22
500,22
